,ds,TMAX_30avg,TMIN_30avg,TOBS_30avg,PDO,AMO,y,PRCP
106,1945-03-07,30.486574074074074,11.364814814814816,17.020707070707072,-0.14,0.35842857142857143,78.0,0.49
107,1945-03-08,30.419907407407404,11.264814814814816,17.187373737373736,-0.13000000000000003,0.359,72.0,0.0
108,1945-03-09,30.65324074074074,11.564814814814815,17.187373737373736,-0.12000000000000002,0.35957142857142854,70.0,0.0
109,1945-03-10,31.15324074074074,11.531481481481482,16.854040404040404,-0.11000000000000001,0.36014285714285715,70.0,0.0
110,1945-03-11,31.353240740740738,11.731481481481483,17.187373737373736,-0.10000000000000003,0.3607142857142857,63.0,0.0
111,1945-03-12,32.01990740740741,12.098148148148148,17.520707070707072,-0.09000000000000002,0.36128571428571427,63.0,0.0
112,1945-03-13,32.6199074074074,12.464814814814815,17.954040404040406,-0.08000000000000002,0.3618571428571429,63.0,0.0
113,1945-03-14,32.91990740740741,12.698148148148148,18.054040404040403,-0.07,0.36242857142857143,62.0,0.0
114,1945-03-15,33.01990740740741,12.164814814814815,17.754040404040403,-0.06,0.363,62.0,1.06
115,1945-03-16,33.01990740740741,11.564814814814815,17.22070707070707,-0.04806451612903226,0.35393548387096774,69.0,0.0
116,1945-03-17,32.95324074074074,11.631481481481481,17.487373737373737,-0.03612903225806451,0.3448709677419355,74.0,0.0
117,1945-03-18,32.55324074074074,11.564814814814815,17.38737373737374,-0.024193548387096767,0.33580645161290323,77.0,1.7
118,1945-03-19,32.88657407407407,11.364814814814816,16.987373737373737,-0.012258064516129027,0.326741935483871,77.0,0.0
119,1945-03-20,33.41990740740741,11.198148148148148,17.08737373737374,-0.00032258064516128837,0.3176774193548387,70.0,0.0
120,1945-03-21,34.08657407407407,11.331481481481482,17.520707070707072,0.011612903225806465,0.3086129032258064,59.0,0.0
121,1945-03-22,34.719907407407405,11.731481481481483,18.32070707070707,0.023548387096774204,0.29954838709677417,59.0,0.0
122,1945-03-23,35.41990740740741,12.231481481481483,18.787373737373738,0.03548387096774194,0.2904838709677419,55.0,0.58
123,1945-03-24,36.18657407407407,12.631481481481481,18.987373737373737,0.04741935483870968,0.28141935483870967,62.0,0.37
124,1945-03-25,35.85324074074074,12.831481481481482,19.187373737373736,0.05935483870967742,0.2723548387096774,62.0,0.27
125,1945-03-26,36.65324074074074,12.79814814814815,19.42070707070707,0.07129032258064516,0.2632903225806451,66.0,0.61
126,1945-03-27,37.01990740740741,12.898148148148149,19.554040404040403,0.08322580645161293,0.25422580645161286,71.0,0.0
127,1945-03-28,37.14098583877996,13.364324618736385,20.13791137178234,0.09516129032258067,0.24516129032258063,78.0,0.0
128,1945-03-29,37.154411764705884,13.366176470588236,20.11720430107527,0.1070967741935484,0.23609677419354835,78.0,0.82
129,1945-03-30,37.221078431372554,13.466176470588236,19.9505376344086,0.11903225806451614,0.2270322580645161,78.0,0.0
130,1945-03-31,37.38774509803922,13.566176470588236,20.1505376344086,0.13096774193548388,0.21796774193548385,78.0,0.0
131,1945-07-01,38.321078431372555,14.766176470588237,21.583870967741934,0.14290322580645162,0.2089032258064516,73.0,0.0
132,1945-07-02,39.48774509803922,16.232843137254903,23.11720430107527,0.15483870967741936,0.19983870967741935,69.0,0.0
133,1945-07-03,41.35441176470589,17.69950980392157,24.717204301075267,0.1667741935483871,0.19077419354838707,64.0,0.0
134,1945-07-04,43.08774509803922,19.79950980392157,26.7505376344086,0.17870967741935484,0.18170967741935481,56.0,0.0
135,1945-07-05,45.05441176470588,22.09950980392157,28.883870967741935,0.1906451612903226,0.17264516129032256,54.0,0.0
